transaction_id,customer_id,amount,payment_method,transaction_date,status,failure_reason,checkout_time_seconds,previous_transactions,previous_successes,previous_failures,customer_lifetime_value
TXN000019,C1688,24095.76,Debit Card,2026-01-01 10:16:57.461746,Success,,754,14,9,5,141708.74
TXN000020,C0131,9486.96,UPI,2026-01-01 10:51:13.987398,Success,,345,7,2,5,32086.71
TXN000021,C1686,15120.01,UPI,2026-01-01 11:25:30.513051,Success,,505,27,26,1,22546.12
TXN000022,C1333,2084.91,UPI,2026-01-01 11:59:47.038703,Abandoned,Checkout Abandoned,593,19,7,12,3211.91
TXN000023,C0770,17109.55,UPI,2026-01-01 12:34:03.564356,Success,,204,15,8,7,35072.9
TXN000024,C0344,23320.91,Net Banking,2026-01-01 13:08:20.090009,Failed,Insufficient Balance,12,16,6,10,50485.54
TXN000025,C1516,14434.06,Debit Card,2026-01-01 13:42:36.615661,Success,,211,2,2,0,36565.77
TXN000026,C1438,3240.27,Wallet,2026-01-01 14:16:53.141314,Success,,200,12,5,7,119708.93
TXN000027,C0806,14584.87,Debit Card,2026-01-01 14:51:09.666966,Success,,216,8,7,1,112539.86
TXN000028,C0386,19182.05,UPI,2026-01-01 15:25:26.192619,Failed,Insufficient Balance,120,19,17,2,12611.61
TXN000029,C1216,10219.77,Debit Card,2026-01-01 15:59:42.718271,Success,,356,14,14,0,104749.58
TXN000030,C0956,22007.96,Wallet,2026-01-01 16:33:59.243924,Success,,515,25,23,2,78327.48
TXN000031,C0277,16252.21,Debit Card,2026-01-01 17:08:15.769576,Success,,572,25,16,9,20258.83
TXN000032,C1185,22491.3,Debit Card,2026-01-01 17:42:32.295229,Abandoned,Checkout Abandoned,759,29,3,26,111060.55
TXN000033,C0460,15625.28,Wallet,2026-01-01 18:16:48.820882,Success,,143,26,6,20,13363.81
TXN000034,C1338,3369.07,UPI,2026-01-01 18:51:05.346534,Success,,290,15,13,2,26984.02
TXN000035,C0022,7811.32,Debit Card,2026-01-01 19:25:21.872187,Success,,235,15,15,0,22809.36
TXN000036,C0253,5124.69,Net Banking,2026-01-01 19:59:38.397839,Success,,547,18,16,2,140885.49
TXN000037,C0748,22729.78,Wallet,2026-01-01 20:33:54.923492,Failed,Insufficient Balance,225,3,1,2,104874.32
TXN000038,C0857,19033.96,UPI,2026-01-01 21:08:11.449144,Abandoned,Checkout Abandoned,601,18,5,13,61987.25
TXN000039,C1585,16942.32,Credit Card,2026-01-01 21:42:27.974797,Success,,301,18,12,6,123419.52
TXN000040,C0475,7594.06,Debit Card,2026-01-01 22:16:44.500450,Abandoned,Checkout Abandoned,30,1,0,1,32785.93
TXN000041,C1083,4682.71,UPI,2026-01-01 22:51:01.026102,Failed,Bank Timeout,231,5,0,5,139698.45
TXN000042,C0511,18935.63,Credit Card,2026-01-01 23:25:17.551755,Success,,570,12,6,6,104701.1
TXN000043,C1706,11906.53,UPI,2026-01-01 23:59:34.077407,Abandoned,Checkout Abandoned,349,14,2,12,84157.31
TXN000044,C1500,5722.16,UPI,2026-01-02 00:33:50.603060,Success,,383,9,3,6,119299.94
TXN000045,C0700,15453.89,UPI,2026-01-02 01:08:07.128712,Success,,581,21,12,9,96894.76
TXN000046,C0976,1104.31,Credit Card,2026-01-02 01:42:23.654365,Success,,883,9,0,9,133122.84
TXN000047,C1807,8221.64,UPI,2026-01-02 02:16:40.180018,Success,,763,3,0,3,124458.32
TXN000048,C0190,11767.07,Credit Card,2026-01-02 02:50:56.705670,Success,,455,13,6,7,30075.66
TXN000049,C0958,3784.16,UPI,2026-01-02 03:25:13.231323,Success,,388,7,2,5,36329.74
TXN000050,C0687,24617.9,UPI,2026-01-02 03:59:29.756975,Failed,Technical Error,540,5,5,0,10232.06
TXN000051,C0958,5306.52,UPI,2026-01-02 04:33:46.282628,Failed,Bank Timeout,404,11,11,0,33419.74
TXN000052,C0563,3345.79,UPI,2026-01-02 05:08:02.808280,Success,,599,7,6,1,51851.59
TXN000053,C1900,5168.02,Credit Card,2026-01-02 05:42:19.333933,Abandoned,Checkout Abandoned,365,5,2,3,4809.69
TXN000054,C1591,19249.62,Debit Card,2026-01-02 06:16:35.859585,Success,,652,14,3,11,47586.9
TXN000055,C1268,10695.09,UPI,2026-01-02 06:50:52.385238,Success,,450,28,4,24,115846.1
TXN000056,C0832,14178.86,UPI,2026-01-02 07:25:08.910891,Success,,223,24,5,19,126128.98
TXN000057,C1529,623.13,Debit Card,2026-01-02 07:59:25.436543,Success,,137,18,5,13,1826.56
TXN000058,C1155,957.34,UPI,2026-01-02 08:33:41.962196,Success,,521,13,0,13,1568.48
TXN000059,C1509,11201.06,Wallet,2026-01-02 09:07:58.487848,Success,,628,2,2,0,22372.91
TXN000060,C1843,20434.72,Debit Card,2026-01-02 09:42:15.013501,Failed,Technical Error,462,17,12,5,130950.27
TXN000061,C0647,22142.45,UPI,2026-01-02 10:16:31.539153,Abandoned,Checkout Abandoned,702,9,0,9,70657.07
TXN000062,C0021,2258.99,UPI,2026-01-02 10:50:48.064806,Failed,Network Error,715,13,7,6,147443.86
TXN000063,C0841,13505.24,Credit Card,2026-01-02 11:25:04.590459,Success,,327,13,4,9,133156.05
TXN000064,C0167,22839.42,UPI,2026-01-02 11:59:21.116111,Failed,Bank Timeout,54,21,16,5,133574.15
TXN000065,C1298,9760.52,UPI,2026-01-02 12:33:37.641764,Failed,Bank Timeout,66,6,6,0,19707.23
TXN000066,C0388,20756.19,UPI,2026-01-02 13:07:54.167416,Success,,395,6,6,0,71546.79
TXN000067,C0601,3429.02,Debit Card,2026-01-02 13:42:10.693069,Failed,Bank Timeout,878,20,1,19,149041.79
TXN000068,C0316,23391.32,Credit Card,2026-01-02 14:16:27.218721,Success,,192,21,21,0,22782.11
TXN000069,C0014,18810.44,UPI,2026-01-02 14:50:43.744374,Success,,796,22,2,20,86347.9
TXN000070,C0242,23539.23,Debit Card,2026-01-02 15:25:00.270027,Success,,326,10,5,5,51969.86
TXN000071,C0777,16947.77,UPI,2026-01-02 15:59:16.795679,Success,,417,17,8,9,58484.79
TXN000072,C1370,9148.76,Credit Card,2026-01-02 16:33:33.321332,Failed,Insufficient Balance,526,9,5,4,133673.48
TXN000073,C0565,23460.71,UPI,2026-01-02 17:07:49.846984,Success,,675,14,0,14,88391.43
TXN000074,C0898,6961.61,Credit Card,2026-01-02 17:42:06.372637,Success,,485,29,21,8,113937.07
TXN000075,C1364,8371.1,Wallet,2026-01-02 18:16:22.898289,Abandoned,Checkout Abandoned,28,11,2,9,101148.54
TXN000076,C0092,17550.13,UPI,2026-01-02 18:50:39.423942,Abandoned,Checkout Abandoned,40,22,3,19,79587.85
TXN000077,C1391,19156.38,UPI,2026-01-02 19:24:55.949594,Success,,500,16,12,4,118860.82
TXN000078,C0956,23242.15,UPI,2026-01-02 19:59:12.475247,Success,,668,21,19,2,145624.57
TXN000079,C1479,5199.58,UPI,2026-01-02 20:33:29.000900,Success,,477,23,7,16,145039.52
TXN000080,C1452,19970.15,UPI,2026-01-02 21:07:45.526552,Success,,883,28,22,6,118523.07
TXN000081,C0509,18489.8,Net Banking,2026-01-02 21:42:02.052205,Success,,858,16,4,12,73355.8
TXN000082,C0776,1688.48,Net Banking,2026-01-02 22:16:18.577857,Success,,405,0,0,0,24892.26
TXN000083,C1967,9741.86,UPI,2026-01-02 22:50:35.103510,Failed,Insufficient Balance,428,5,1,4,7148.34
TXN000084,C0035,7140.86,Credit Card,2026-01-02 23:24:51.629162,Failed,Technical Error,867,20,19,1,35101.02
TXN000085,C0206,7681.81,Credit Card,2026-01-02 23:59:08.154815,Success,,382,14,12,2,51368.57
TXN000086,C1105,24575.38,Credit Card,2026-01-03 00:33:24.680468,Success,,646,18,18,0,19912.52
TXN000087,C1956,16105.16,UPI,2026-01-03 01:07:41.206120,Success,,337,13,11,2,34102.42
TXN000088,C1586,17970.14,UPI,2026-01-03 01:41:57.731773,Success,,881,9,0,9,12990.05
TXN000089,C1896,24417.78,Credit Card,2026-01-03 02:16:14.257425,Success,,546,28,8,20,78789.71
TXN000090,C1412,9492.32,UPI,2026-01-03 02:50:30.783078,Success,,162,9,7,2,19384.57
TXN000091,C1026,20065.82,Debit Card,2026-01-03 03:24:47.308730,Success,,758,22,15,7,111543.91
TXN000092,C1022,10919.82,Debit Card,2026-01-03 03:59:03.834383,Success,,735,6,0,6,50231.14
TXN000093,C1414,21751.39,UPI,2026-01-03 04:33:20.360036,Success,,662,6,1,5,100973.38
TXN000094,C0566,4598.37,UPI,2026-01-03 05:07:36.885688,Success,,307,13,13,0,132436.66
TXN000095,C1130,23697.39,Net Banking,2026-01-03 05:41:53.411341,Success,,152,14,0,14,13359.47
TXN000096,C1796,5547.42,Credit Card,2026-01-03 06:16:09.936993,Success,,544,21,0,21,148355.62
TXN000097,C1846,8222.89,Net Banking,2026-01-03 06:50:26.462646,Success,,805,19,14,5,96963.88
TXN000098,C1501,18929.19,UPI,2026-01-03 07:24:42.988298,Success,,121,8,2,6,8478.21
TXN000099,C0703,9904.5,Credit Card,2026-01-03 07:58:59.513951,Success,,278,27,1,26,47443.33
TXN000100,C0402,15244.46,Credit Card,2026-01-03 08:33:16.039603,Success,,105,14,11,3,132993.65
TXN000101,C0730,11169.88,Net Banking,2026-01-03 09:07:32.565256,Success,,340,8,7,1,89636.92
TXN000102,C1580,18585.01,UPI,2026-01-03 09:41:49.090909,Failed,Technical Error,181,22,13,9,43439.74
TXN000103,C0162,5785.45,UPI,2026-01-03 10:16:05.616561,Success,,471,6,5,1,141103.94
TXN000104,C0202,1555.6,UPI,2026-01-03 10:50:22.142214,Success,,300,23,1,22,118194.26
TXN000105,C1982,7568.24,Net Banking,2026-01-03 11:24:38.667866,Abandoned,Checkout Abandoned,824,10,10,0,110463.01
TXN000106,C0996,11910.29,Wallet,2026-01-03 11:58:55.193519,Abandoned,Checkout Abandoned,244,4,0,4,133319.85
TXN000107,C0270,4283.7,Wallet,2026-01-03 12:33:11.719171,Success,,428,26,21,5,115582.1
TXN000108,C1887,8934.45,Wallet,2026-01-03 13:07:28.244824,Failed,Bank Timeout,315,8,0,8,43367.38
TXN000109,C0816,10059.58,UPI,2026-01-03 13:41:44.770477,Success,,497,5,3,2,87790.97
TXN000110,C1295,1529.06,UPI,2026-01-03 14:16:01.296129,Abandoned,Checkout Abandoned,96,6,5,1,126421.78
TXN000111,C0456,14624.35,UPI,2026-01-03 14:50:17.821782,Success,,817,27,14,13,27536.79
TXN000112,C1486,22120.15,UPI,2026-01-03 15:24:34.347434,Failed,Technical Error,342,22,17,5,24871.98
TXN000113,C1751,3878.4,Net Banking,2026-01-03 15:58:50.873087,Failed,Insufficient Balance,719,24,14,10,24266.95
TXN000114,C1276,14985.42,Net Banking,2026-01-03 16:33:07.398739,Success,,742,22,6,16,29541.16
TXN000115,C1017,16652.01,UPI,2026-01-03 17:07:23.924392,Failed,Technical Error,307,13,11,2,15933.01
TXN000116,C1726,10541.43,Credit Card,2026-01-03 17:41:40.450045,Success,,152,18,9,9,125725.54
TXN000117,C0296,17557.33,Net Banking,2026-01-03 18:15:56.975697,Success,,69,21,1,20,122838.57
TXN000118,C1749,10327.22,Credit Card,2026-01-03 18:50:13.501350,Success,,835,21,1,20,23129.66
TXN000119,C0720,12665.47,UPI,2026-01-03 19:24:30.027002,Abandoned,Checkout Abandoned,810,10,5,5,105977.81
TXN000120,C1773,283.09,Credit Card,2026-01-03 19:58:46.552655,Success,,11,27,19,8,94232.85
TXN000121,C0338,17323.83,UPI,2026-01-03 20:33:03.078307,Success,,426,6,5,1,41791.04
TXN000122,C0879,16567.43,Credit Card,2026-01-03 21:07:19.603960,Success,,162,5,3,2,34491.58
TXN000123,C1077,1056.18,UPI,2026-01-03 21:41:36.129612,Success,,263,3,3,0,37962.59
TXN000124,C0792,9269.43,UPI,2026-01-03 22:15:52.655265,Success,,580,13,10,3,109729.28
TXN000125,C1946,24477.89,Wallet,2026-01-03 22:50:09.180918,Success,,772,21,9,12,48237.9
TXN000126,C0217,10576.34,Credit Card,2026-01-03 23:24:25.706570,Abandoned,Checkout Abandoned,377,2,2,0,42054.91
TXN000127,C0764,12598.44,Credit Card,2026-01-03 23:58:42.232223,Success,,34,16,15,1,3860.92
TXN000128,C0188,22757.26,Wallet,2026-01-04 00:32:58.757875,Success,,142,14,4,10,136281.36
TXN000129,C0380,17959.82,UPI,2026-01-04 01:07:15.283528,Success,,252,0,0,0,113029.27
TXN000130,C0493,14593.55,UPI,2026-01-04 01:41:31.809180,Success,,71,20,4,16,71181.16
TXN000131,C1065,19965.34,Net Banking,2026-01-04 02:15:48.334833,Success,,436,10,9,1,141467.57
TXN000132,C1181,21622.72,UPI,2026-01-04 02:50:04.860486,Success,,625,12,8,4,44383.07
TXN000133,C0015,11476.51,Debit Card,2026-01-04 03:24:21.386138,Success,,461,29,22,7,101368.4
TXN000134,C1837,11930.2,UPI,2026-01-04 03:58:37.911791,Success,,87,23,12,11,46119.98
TXN000135,C0065,9712.67,UPI,2026-01-04 04:32:54.437443,Failed,Network Error,730,2,0,2,47528.58
TXN000136,C1881,24170.98,Credit Card,2026-01-04 05:07:10.963096,Abandoned,Checkout Abandoned,114,12,7,5,126784.02
TXN000137,C1863,17459.44,UPI,2026-01-04 05:41:27.488748,Success,,612,17,2,15,118159.78
TXN000138,C0521,2172.25,Debit Card,2026-01-04 06:15:44.014401,Success,,685,23,17,6,44469.06
TXN000139,C1368,21587.69,Credit Card,2026-01-04 06:50:00.540054,Success,,389,8,2,6,12667.73
TXN000140,C1153,12065.94,Wallet,2026-01-04 07:24:17.065706,Abandoned,Checkout Abandoned,875,24,5,19,53958.83
TXN000141,C0648,1811.97,Debit Card,2026-01-04 07:58:33.591359,Success,,403,1,0,1,114128.6
TXN000142,C1496,13787.96,UPI,2026-01-04 08:32:50.117011,Failed,Insufficient Balance,124,27,27,0,15531.38
TXN000143,C1087,10487.39,Net Banking,2026-01-04 09:07:06.642664,Success,,671,7,1,6,100979.08
TXN000144,C1163,21955.96,Credit Card,2026-01-04 09:41:23.168316,Success,,754,1,1,0,133519.61
TXN000145,C1523,5179.47,Debit Card,2026-01-04 10:15:39.693969,Success,,607,22,0,22,27294.46
TXN000146,C0593,20678.97,Net Banking,2026-01-04 10:49:56.219621,Success,,549,23,9,14,129399.55
TXN000147,C0392,13986.45,Credit Card,2026-01-04 11:24:12.745274,Success,,57,0,0,0,8178.9
TXN000148,C1699,1459.8,Credit Card,2026-01-04 11:58:29.270927,Success,,197,23,9,14,100198.6
TXN000149,C0419,24298.95,Credit Card,2026-01-04 12:32:45.796579,Success,,605,30,28,2,118760.32
TXN000150,C0289,12864.12,UPI,2026-01-04 13:07:02.322232,Success,,584,2,0,2,66992.53
TXN000151,C0379,7342.83,UPI,2026-01-04 13:41:18.847884,Success,,523,28,21,7,30957.44
TXN000152,C1797,11788.23,Credit Card,2026-01-04 14:15:35.373537,Success,,800,16,0,16,138747.06
TXN000153,C1514,21460.66,UPI,2026-01-04 14:49:51.899189,Success,,60,6,2,4,3485.35
TXN000154,C0231,7692.09,UPI,2026-01-04 15:24:08.424842,Success,,235,9,0,9,83483.15
TXN000155,C1018,4897.64,UPI,2026-01-04 15:58:24.950495,Success,,377,18,17,1,56240.99
TXN000156,C0041,3313.87,Credit Card,2026-01-04 16:32:41.476147,Success,,89,23,3,20,69428.05
TXN000157,C1052,7516.7,UPI,2026-01-04 17:06:58.001800,Success,,767,8,1,7,80716.48
TXN000158,C0135,19523.2,Debit Card,2026-01-04 17:41:14.527452,Success,,215,17,5,12,80444.92
TXN000159,C0201,11843.5,UPI,2026-01-04 18:15:31.053105,Success,,637,14,5,9,30941.74
TXN000160,C1864,5764.29,Credit Card,2026-01-04 18:49:47.578757,Abandoned,Checkout Abandoned,778,16,8,8,102115.5
TXN000161,C0780,4238.01,UPI,2026-01-04 19:24:04.104410,Success,,408,23,10,13,3362.67
TXN000162,C0930,8384.96,Debit Card,2026-01-04 19:58:20.630063,Failed,Network Error,536,25,24,1,3667.02
TXN000163,C1057,23504.12,UPI,2026-01-04 20:32:37.155715,Success,,226,21,19,2,72033.86
TXN000164,C1072,8641.37,Wallet,2026-01-04 21:06:53.681368,Success,,52,25,15,10,81514.48
TXN000165,C0503,24704.29,Wallet,2026-01-04 21:41:10.207020,Success,,465,16,7,9,41595.98
TXN000166,C0407,12182.24,Net Banking,2026-01-04 22:15:26.732673,Success,,624,18,16,2,82975.49
TXN000167,C1598,4561.18,Wallet,2026-01-04 22:49:43.258325,Success,,303,8,6,2,77658.33
TXN000168,C1752,22289.39,UPI,2026-01-04 23:23:59.783978,Success,,584,24,22,2,52708.47
TXN000169,C0805,11562.85,Credit Card,2026-01-04 23:58:16.309630,Success,,752,5,1,4,97940.31
TXN000170,C0099,17770.82,Debit Card,2026-01-05 00:32:32.835283,Success,,508,18,3,15,143711.61
TXN000171,C0684,24594.42,Debit Card,2026-01-05 01:06:49.360936,Success,,247,7,6,1,73875.0
TXN000172,C1896,1349.37,Net Banking,2026-01-05 01:41:05.886588,Failed,Technical Error,316,5,2,3,118014.59
TXN000173,C0726,2507.69,Debit Card,2026-01-05 02:15:22.412241,Success,,771,16,10,6,37515.69
TXN000174,C1571,18039.37,Wallet,2026-01-05 02:49:38.937893,Success,,599,5,2,3,114411.61
TXN000175,C0961,7117.44,UPI,2026-01-05 03:23:55.463546,Success,,604,12,9,3,97511.44
TXN000176,C1763,4689.1,Net Banking,2026-01-05 03:58:11.989198,Success,,163,20,20,0,96134.82
TXN000177,C0613,1080.11,Debit Card,2026-01-05 04:32:28.514851,Failed,Card Declined,751,23,20,3,134008.78
TXN000178,C1967,643.98,Debit Card,2026-01-05 05:06:45.040504,Success,,106,28,14,14,35385.86
TXN000179,C1486,19384.69,UPI,2026-01-05 05:41:01.566156,Success,,183,1,0,1,55583.29
TXN000180,C0643,3447.39,Debit Card,2026-01-05 06:15:18.091809,Success,,661,11,5,6,12918.58
TXN000181,C1793,11746.24,Net Banking,2026-01-05 06:49:34.617461,Failed,Bank Timeout,102,6,6,0,109054.94
TXN000182,C1029,15186.83,UPI,2026-01-05 07:23:51.143114,Success,,661,5,4,1,126658.16
TXN000183,C1242,10765.96,Credit Card,2026-01-05 07:58:07.668766,Success,,38,16,8,8,61172.11
TXN000184,C0503,774.96,UPI,2026-01-05 08:32:24.194419,Success,,882,27,27,0,53845.61
TXN000185,C0767,19609.19,Wallet,2026-01-05 09:06:40.720072,Success,,70,7,2,5,98968.45
TXN000186,C0398,361.78,Credit Card,2026-01-05 09:40:57.245724,Success,,50,5,0,5,11800.77
TXN000187,C0871,19071.06,UPI,2026-01-05 10:15:13.771377,Failed,Insufficient Balance,503,28,22,6,44429.36
TXN000188,C0795,22343.28,UPI,2026-01-05 10:49:30.297029,Success,,669,30,25,5,55248.81
TXN000189,C0393,10877.71,Debit Card,2026-01-05 11:23:46.822682,Failed,Network Error,823,18,2,16,78029.25
TXN000190,C0207,13435.01,UPI,2026-01-05 11:58:03.348334,Success,,768,20,19,1,71747.1
TXN000191,C1039,11976.89,Credit Card,2026-01-05 12:32:19.873987,Success,,679,22,3,19,31697.72
TXN000192,C1882,9791.29,Wallet,2026-01-05 13:06:36.399639,Failed,Card Declined,304,8,6,2,81347.79
TXN000193,C1578,22196.87,Net Banking,2026-01-05 13:40:52.925292,Success,,767,19,14,5,138917.37
TXN000194,C0892,22358.94,UPI,2026-01-05 14:15:09.450945,Failed,Card Declined,305,27,17,10,4549.64
TXN000195,C1485,8461.83,Wallet,2026-01-05 14:49:25.976597,Failed,Insufficient Balance,188,29,26,3,102205.83
TXN000196,C1715,15415.24,Debit Card,2026-01-05 15:23:42.502250,Success,,267,15,4,11,93894.0
TXN000197,C1599,23180.0,UPI,2026-01-05 15:57:59.027902,Success,,739,17,10,7,138701.83
TXN000198,C0864,24055.26,UPI,2026-01-05 16:32:15.553555,Abandoned,Checkout Abandoned,458,18,10,8,96979.07
TXN000199,C0743,12773.08,UPI,2026-01-05 17:06:32.079207,Success,,677,6,3,3,93913.99
TXN000200,C1265,11375.34,Net Banking,2026-01-05 17:40:48.604860,Success,,316,7,7,0,115585.95
TXN000201,C0564,7039.49,UPI,2026-01-05 18:15:05.130513,Success,,129,20,10,10,40536.99
TXN000202,C1021,23975.91,UPI,2026-01-05 18:49:21.656165,Success,,273,30,24,6,89561.97
TXN000203,C0096,3656.08,Debit Card,2026-01-05 19:23:38.181818,Success,,296,30,0,30,78153.46
TXN000204,C1924,14537.76,Credit Card,2026-01-05 19:57:54.707470,Success,,560,18,12,6,66051.64
TXN000205,C1758,7135.5,Debit Card,2026-01-05 20:32:11.233123,Success,,197,0,0,0,12383.33
TXN000206,C0485,7047.31,Debit Card,2026-01-05 21:06:27.758775,Success,,251,25,18,7,44248.01
TXN000207,C1431,10183.72,UPI,2026-01-05 21:40:44.284428,Success,,604,12,5,7,42357.27
TXN000208,C0231,24969.94,Net Banking,2026-01-05 22:15:00.810081,Success,,214,0,0,0,108775.52
TXN000209,C0749,1468.66,UPI,2026-01-05 22:49:17.335733,Success,,665,10,10,0,138138.09
TXN000210,C1679,14505.69,Credit Card,2026-01-05 23:23:33.861386,Success,,288,1,1,0,35002.69
TXN000211,C1195,2156.05,Credit Card,2026-01-05 23:57:50.387038,Success,,404,20,18,2,11656.28
TXN000212,C0541,3947.57,UPI,2026-01-06 00:32:06.912691,Success,,481,2,1,1,149993.56
TXN000213,C1060,11045.12,Wallet,2026-01-06 01:06:23.438343,Success,,386,12,12,0,103835.2
TXN000214,C0525,12810.46,Credit Card,2026-01-06 01:40:39.963996,Success,,703,6,2,4,133027.39
TXN000215,C1184,6543.93,UPI,2026-01-06 02:14:56.489648,Success,,334,1,0,1,22009.97
TXN000216,C1863,7979.78,Wallet,2026-01-06 02:49:13.015301,Failed,Insufficient Balance,21,1,0,1,120214.82
TXN000217,C1723,2265.48,Credit Card,2026-01-06 03:23:29.540954,Success,,301,2,0,2,122091.9
TXN000218,C1267,7650.17,Debit Card,2026-01-06 03:57:46.066606,Abandoned,Checkout Abandoned,66,12,8,4,23147.59
TXN000219,C1110,24167.31,Credit Card,2026-01-06 04:32:02.592259,Success,,163,11,9,2,24629.92
TXN000220,C1820,23623.21,Net Banking,2026-01-06 05:06:19.117911,Success,,613,0,0,0,44669.96
TXN000221,C0578,8438.47,UPI,2026-01-06 05:40:35.643564,Failed,Card Declined,473,17,17,0,32909.72
TXN000222,C0682,14314.26,UPI,2026-01-06 06:14:52.169216,Success,,611,4,3,1,146323.78
TXN000223,C0557,22748.93,Credit Card,2026-01-06 06:49:08.694869,Success,,525,18,5,13,54760.1
TXN000224,C1598,253.98,UPI,2026-01-06 07:23:25.220522,Abandoned,Checkout Abandoned,742,30,26,4,114315.31
TXN000225,C1977,20286.02,Debit Card,2026-01-06 07:57:41.746174,Success,,665,26,7,19,120855.1
TXN000226,C1013,23714.4,UPI,2026-01-06 08:31:58.271827,Failed,Bank Timeout,31,9,7,2,58198.16
TXN000227,C0646,2374.01,UPI,2026-01-06 09:06:14.797479,Success,,713,5,3,2,102546.54
TXN000228,C0796,4120.05,UPI,2026-01-06 09:40:31.323132,Failed,Bank Timeout,116,17,8,9,16616.12
TXN000229,C1052,24022.58,Debit Card,2026-01-06 10:14:47.848784,Success,,335,14,6,8,59845.83
TXN000230,C1644,13484.75,Net Banking,2026-01-06 10:49:04.374437,Success,,741,13,12,1,145112.94
TXN000231,C1580,453.5,UPI,2026-01-06 11:23:20.900090,Success,,435,23,7,16,25695.33
TXN000232,C1364,6515.04,Credit Card,2026-01-06 11:57:37.425742,Success,,248,15,7,8,58163.84
TXN000233,C1822,11303.6,UPI,2026-01-06 12:31:53.951395,Success,,350,3,1,2,118682.97
TXN000234,C1982,17353.43,Credit Card,2026-01-06 13:06:10.477047,Success,,739,18,6,12,99980.78
TXN000235,C1355,18355.69,UPI,2026-01-06 13:40:27.002700,Success,,48,20,18,2,94912.03
TXN000236,C1664,24886.0,Credit Card,2026-01-06 14:14:43.528352,Failed,Network Error,766,29,22,7,128061.99
TXN000237,C1530,7259.03,Credit Card,2026-01-06 14:49:00.054005,Success,,671,7,1,6,4849.53
TXN000238,C1372,13501.68,Net Banking,2026-01-06 15:23:16.579657,Failed,Bank Timeout,39,24,0,24,115789.07
TXN000239,C1497,13379.76,UPI,2026-01-06 15:57:33.105310,Success,,423,0,0,0,132441.08
TXN000240,C1255,10200.57,Debit Card,2026-01-06 16:31:49.630963,Success,,170,19,10,9,2918.08
TXN000241,C0190,4312.13,Credit Card,2026-01-06 17:06:06.156615,Success,,625,21,8,13,84064.96
TXN000242,C1249,24438.67,Wallet,2026-01-06 17:40:22.682268,Success,,679,21,9,12,52613.98
TXN000243,C1409,21347.6,UPI,2026-01-06 18:14:39.207920,Success,,318,12,9,3,8089.02
TXN000244,C1401,12508.49,UPI,2026-01-06 18:48:55.733573,Success,,423,8,0,8,62953.34
TXN000245,C1307,15120.81,Net Banking,2026-01-06 19:23:12.259225,Success,,143,0,0,0,96782.51
TXN000246,C1982,5758.8,UPI,2026-01-06 19:57:28.784878,Success,,575,14,10,4,137892.54
TXN000247,C0633,13640.3,UPI,2026-01-06 20:31:45.310531,Success,,344,28,16,12,93269.31
TXN000248,C0628,17404.76,UPI,2026-01-06 21:06:01.836183,Failed,Card Declined,45,14,10,4,128583.09
TXN000249,C0973,12927.66,Net Banking,2026-01-06 21:40:18.361836,Failed,Card Declined,840,13,11,2,18674.94
TXN000250,C1769,24758.1,UPI,2026-01-06 22:14:34.887488,Failed,Technical Error,652,4,3,1,31972.91
